date,co,no2,o3,so2,pm2_5,pm10
10/1/2024 0:00,15380.9,108.3,0,48.16,524.52,763.29
10/1/2024 1:00,14099.1,87.05,0,39.1,503.96,737.04
10/1/2024 2:00,11962.9,68.55,0,30.99,467.86,691.56
10/1/2024 3:00,10360.7,56.21,0,25.99,443.14,655.62
10/1/2024 4:00,10467.5,51.41,0,25.51,469.5,676.38
10/1/2024 5:00,11962.9,55.52,0,29.33,526.01,725.45
10/1/2024 6:00,12603.8,57.58,0,36.72,537.37,721.91
10/1/2024 7:00,15808.1,67.17,0.27,66.76,597.62,795.21
10/1/2024 8:00,23284.9,108.3,1.25,108.72,717.69,932.04
10/1/2024 9:00,28198.2,241.28,6.79,120.16,834.12,1044.78
10/1/2024 10:00,24139.4,455.14,124.45,113.49,917.1,1090.57
10/1/2024 11:00,3898.62,85.68,228.88,43.39,206.66,240.14
10/1/2024 12:00,2216.34,40.1,257.49,33.86,127,149.46
10/1/2024 13:00,1922.61,35.99,254.63,32.42,115.06,135.2
10/1/2024 14:00,1815.8,41.47,228.88,33.86,101.75,120.27
10/1/2024 15:00,1789.09,52.78,194.55,39.1,90.53,108.13
10/1/2024 16:00,1735.69,63.06,157.36,43.39,76.72,93.41
10/1/2024 17:00,2349.85,93.22,113.01,52.93,75.79,94.16
10/1/2024 18:00,3578.19,134.35,60.8,61.99,92.47,119.32
10/1/2024 19:00,4058.84,131.61,44.35,56.74,114.71,153.89
10/1/2024 20:00,7370,161.77,5.9,63.9,209.77,286.6
10/1/2024 21:00,11962.9,165.88,0,75.34,361.53,494.18
10/1/2024 22:00,15167.2,163.14,0,84.88,512.55,701.01
10/1/2024 23:00,17730.7,163.14,0,98.23,624.9,859.88
10/2/2024 0:00,20080.6,167.25,0,103.95,697.18,943.31
10/2/2024 1:00,22003.2,180.96,0,103,787.53,1044.85
10/2/2024 2:00,22430.4,183.7,0,95.37,846.94,1104.29
10/2/2024 3:00,21575.9,174.11,0,84.88,867.63,1121.26
10/2/2024 4:00,19866.9,160.4,0,74.39,845.61,1088.06
10/2/2024 5:00,17303.5,143.95,0,64.85,761.65,972.41
10/2/2024 6:00,15808.1,128.87,0,61.04,701.07,883.85
10/2/2024 7:00,19012.4,128.87,0.27,82.02,765.01,951.48
